Time,Volt_In,Volt_Out
281249,789,270
281251,1542,0
281254,2824,270
281257,2756,938
281259,1923,1754
281261,728,2312
281263,693,2338
281266,1878,1819
281269,2968,1029
281271,2871,293
281274,1609,0
281275,829,251
281278,846,896
281280,1654,1735
281283,2910,2435
281286,2661,2161
281289,1282,1458
281291,625,529
281293,1095,83
281296,2473,161
281299,2985,696
281301,2421,1535
281303,1015,2235
281305,620,2458
281308,1386,2093
281311,2756,1377
281313,3014,561
281316,2067,100
281317,1141,148
281320,660,670
281322,1230,1480
281325,2632,2222
281328,2915,2467
281330,2231,2151
281332,902,1422
281334,625,600
281337,1581,100
281339,2505,129
281342,2979,651
281345,1873,1438
281346,998,2180
281349,730,2464
281351,1394,2167
281354,2745,1435
281357,2864,651
281358,2063,125
281361,784,106
281363,656,596
281366,1755,1377
281368,2653,2148
281371,2917,2470
281373,1697,2212
281375,872,1493
281378,821,700
281380,1606,135
281383,2875,90
281385,2974,558
281387,1839,1377
281390,670,2106
281392,760,2461
281395,1984,2235
281397,2800,1538
281400,2804,729
281402,1466,151
281404,748,100
281407,962,548
281409,1832,1312
281412,2972,2080
281414,2884,2464
281416,1619,2258
281419,630,1593
281421,868,754
281424,2199,183
281426,2912,0
281427,3007,0
281427,2986,0
281428,2811,0
281429,2519,0
281430,2132,0
281431,1726,0
281431,1326,0
281432,980,0
281433,734,0
281434,635,0
281434,651,0
281435,811,0
281436,1094,0
281437,1455,0
281438,1849,0
281438,2245,0
281439,2615,0
281440,2881,0
281441,3022,0
281442,2989,0
281442,2830,0
281443,2537,0
281444,2179,0
281445,1752,0
281446,1357,0
281446,1011,0
281447,759,0
281448,622,0
281449,661,0
281449,793,0
281450,1067,0
281451,1427,0
281452,1828,0
281453,2226,0
281453,2577,0
281454,2863,0
281455,3006,0
281456,3007,0
281457,2856,0
281457,2602,0
281458,2227,0
281459,1806,0
281460,1392,0
281460,1049,0
281461,776,0
281462,633,0
281463,643,0
281464,801,0
281464,1038,0
281465,1396,0
281466,1807,0
281467,2205,0
281468,2559,0
281468,2835,0
281469,3000,0
281470,3009,0
281471,2875,0
281472,2608,0
281472,2277,0
281473,1838,0
281474,1448,0
281475,1082,0
281475,808,0
281476,651,0
281477,624,0
281478,733,0
281479,950,0
281479,1290,0
281480,1693,0
281481,2128,0
281482,2532,0
281483,2818,0
281483,2979,0
281484,3016,0
281485,2898,0
281486,2652,0
281487,2298,0
281487,1914,0
281488,1477,0
281489,1100,0
281490,819,0
281490,657,0
281491,622,0
281492,737,0
281493,974,0
281494,1299,0
281494,1693,0
281495,2104,0
281496,2470,0
281497,2795,0
281498,2975,0
281498,3022,0
281499,2918,0
281500,2699,0
281501,2348,0
281502,1952,0
281502,1539,0
281503,1142,0
281504,842,0
281505,662,0
281505,619,0
281506,708,0
281507,926,0
281508,1242,0
281509,1615,0
281509,2029,0
281510,2440,0
281511,2752,0
281512,2972,0
281513,3021,0
281513,2947,0
281514,2714,0
281515,2383,0
281516,1972,0
281517,1562,0
281517,1195,0
281518,880,0
281519,679,0
281520,630,0
281520,700,0
281521,899,0
281522,1218,0
281523,1604,0
281524,2003,0
281524,2384,0
281525,2736,0
281526,2943,0
281527,3025,0
281528,2950,0
281528,2752,0
281529,2413,0
281530,2046,0
281531,1606,0
281532,1228,0
281532,905,0
281533,688,0
281534,618,0
281535,690,0
281535,883,0
281536,1195,0
281537,1571,0
281538,1983,0
281539,2366,0
281539,2688,0
281540,2927,0
281541,3002,0
281542,2976,0
281543,2776,0
281543,2478,0
281544,2058,0
281545,1662,0
281546,1249,0
281547,942,0
281547,709,0
281548,622,0
281549,676,0
281550,881,0
281550,1162,0
281551,1540,0
281552,1955,0
281553,2343,0
281554,2675,0
281554,2901,0
281555,3017,0
281556,2982,0
281557,2798,0
281558,2498,0
281558,2141,0
281559,1704,0
281560,1295,0
281561,958,0
281563,623,1829
281565,1442,2345
281567,2389,2332
281570,3001,1796
281572,2484,964
281575,1074,270
281577,628,0
281579,1291,270
281582,2688,938
281584,3017,1754
281587,2133,2312
281589,1199,2338
281592,644,1819
281594,1664,1029
281596,2575,293
281599,2935,0
281601,2286,251
281604,909,896
281606,623,1735
281608,1519,2435
281611,2829,2161
281614,2752,1458
281617,1386,529
281619,725,83
281621,987,161
281624,2383,696
281626,2991,1535
281629,2474,2235
281631,1549,2458
281634,630,2093
281637,1312,1377
281638,2257,561
281641,3022,100
281643,2595,148
281646,1191,670
281648,653,1480
281651,1177,2222
281653,2582,2467
281655,3017,2151
281658,2276,1422
281660,1331,600
281663,630,100
281665,1046,129
281667,2447,651
281670,2989,1438
281672,2441,2180
281675,1045,2464
281677,629,2167
281679,1310,1435
281682,2693,651
281684,3017,125
281687,2125,106
281689,1197,596
281692,639,1377
281693,1160,2148
281696,2582,2470
281699,2944,2212
281701,2257,1493
281704,912,700
281706,619,135
281708,1505,90
281710,2453,558
281713,2987,1377
281716,1905,2106
281718,1000,2461
281721,713,2235
281722,1368,1538
281725,2747,729
281728,2842,151
281730,2047,100
281733,768,548
281735,660,1312
281737,1733,2080
281739,2634,2464
281742,2913,2258
281745,1681,1593
281747,862,754
281750,809,183
281751,1573,0
281752,2013,0
281753,2414,0
281754,2755,0
281755,2942,0
281755,3021,0
281756,2947,0
281757,2736,0
281758,2415,0
281759,2023,0
281759,1610,0
281760,1207,0
281761,888,0
281762,688,0
281763,620,0
281763,689,0
281764,900,0
281765,1222,0
281766,1587,0
281766,1996,0
281767,2390,0
281768,2747,0
281769,2953,0
281770,3013,0
281770,2948,0
281771,2724,0
281772,2400,0
281773,1990,0
281774,1586,0
281774,1220,0
281775,907,0
281776,694,0
281777,618,0
281778,675,0
281778,875,0
281779,1198,0
281780,1602,0
281781,2041,0
281782,2413,0
281782,2744,0
281783,2959,0
281784,3023,0
281785,2951,0
281786,2728,0
281786,2406,0
281787,2004,0
281788,1587,0
281789,1189,0
281790,886,0
281790,686,0
281791,619,0
281792,695,0
281793,936,0
281794,1227,0
281794,1616,0
281795,2032,0
281796,2656,0
281797,2931,0
281798,3066,0
281799,3048,0
281799,2906,0
281800,2621,0
281801,2253,0
281802,1822,0
281803,1426,0
281803,1074,0
281804,825,0
281805,685,0
281806,688,0
281807,809,0
281807,1086,0
281808,1463,0
281809,1882,0
281810,2316,0
281811,2653,0
281812,2969,0
281813,3020,0
281813,2940,0
281814,2711,0
281815,2384,0
281816,1974,0
281817,1558,0
281817,1192,0
281818,869,0
281819,674,0
281820,624,0
281821,701,0
281821,933,0
281822,1260,0
281823,1676,0
281824,2119,0
281825,2706,0
281826,2967,0
281827,3073,0
281827,3043,0
281828,2859,0
281829,2572,0
281830,2162,0
281831,1760,0
281831,1375,0
281832,1015,0
281833,772,0
281834,668,0
281835,707,0
281835,879,0
281836,1178,0
281837,1585,0
281838,2020,0
281839,2402,0
281839,2739,0
281840,2981,0
281841,3073,0
281842,3029,0
281843,2829,0
281843,2528,0
281844,2128,0
281845,1702,0
281846,1299,0
281847,983,0
281847,754,0
281848,661,0
281849,721,0
281850,931,0
281851,1212,0
281851,1606,0
281852,2040,0
281853,2464,0
281854,2804,0
281855,3001,0
281855,3080,0
281856,3003,0
281857,2796,0
281858,2469,0
281859,2074,0
281859,1654,0
281860,1252,0
281861,932,0
281862,731,0
281863,664,0
281863,730,0
281864,946,0
281865,1278,0
281866,1701,0
281867,2096,0
281867,2507,0
281868,2828,0
281869,3019,0
281870,3090,0
281871,2981,0
281871,2755,0
281872,2400,0
281873,2015,0
281874,1582,0
281875,1209,0
281875,899,0
281876,709,0
281877,664,0
281878,767,0
281879,987,0
281879,1325,0
281880,1733,0
281881,2188,0
281882,2590,0
281883,2872,0
281883,3041,0
281884,3071,0
281885,2959,0
281886,2717,0
281887,2354,0
281887,1959,0
281888,1532,1422
281891,660,2132
281893,990,2409
281896,2355,2112
281898,3078,1400
281900,2643,577
281903,1232,80
281905,688,67
281908,1220,558
281910,2144,1354
281912,3057,2122
281915,2353,2409
281917,1416,2148
281920,664,1445
281922,1078,622
281925,2494,83
281926,3046,64
281929,2517,541
281932,1108,1319
281934,666,2077
281938,1916,2361
281940,2777,1864
281942,2913,900
281945,1610,251
281947,841,51
281950,939,374
281952,1747,1100
281954,2961,1951
281957,2711,2419
281959,1809,2358
281962,708,1764
281964,847,945
281967,2104,270
281968,2888,48
281971,2802,358
281974,1433,1054
281976,759,1874
281979,1079,2396
281981,1943,2377
281983,3044,1806
281986,2522,993
281988,1578,296
281991,668,51
281993,973,338
281996,2323,1025
281997,2991,1851
282000,2648,2400
282003,1235,2393
282005,692,1848
282008,1209,1045
282010,2141,335
282012,3075,48
282014,2775,287
282017,1420,987
282020,669,1800
282022,1083,2377
282024,2453,2409
282026,3036,1877
282029,2505,1077
282032,1110,354
282034,666,61
282037,1359,277
282038,2307,935
282041,3076,1770
282043,2647,2361
282046,1229,2419
282049,697,1938
282051,1230,1119
282053,2640,390
282055,3079,51
282058,2325,258
282060,1376,900
282063,678,1748
282066,1581,2332
282067,2513,2432
282070,3043,1970
282072,2461,1167
282075,1054,422
282078,767,0
282079,985,0
282079,1305,0
282080,1701,0
282081,2142,0
282082,2515,0
282083,2828,0
282083,3026,0
282084,3082,0
282085,2983,0
282086,2752,0
282087,2417,0
282087,1992,0
282088,1582,0
282089,1219,0
282090,922,0
282090,730,0
282091,664,0
282092,748,0
282093,974,0
282094,1282,0
282094,1683,0
282095,2116,0
282096,2530,0
282097,2866,0
282098,3027,0
282098,3081,0
282099,2972,0
282100,2747,0
282101,2388,0
282102,1989,0
282102,1589,0
282103,1196,0
282104,886,0
282105,710,0
282106,665,0
282106,763,0
282107,1004,0
282108,1351,0
282109,1783,0
282110,2176,0
282110,2565,0
282111,2869,0
282112,3041,0
282113,3078,0
282114,2947,0
282114,2698,0
282115,2335,0
282116,1947,0
282117,1510,0
282118,1153,0
282118,860,0
282119,698,0
282120,672,0
282121,808,0
282122,1024,0
282122,1373,0
282123,1777,0
282124,2218,0
282125,2575,0
282126,2878,0
282126,3045,0
282127,3074,0
282128,2947,0
282129,2706,0
282130,2347,0
282130,1926,0
282131,1509,0
282132,1149,0
282133,877,0
282133,708,0
282134,671,0
282135,774,0
282136,1020,0
282137,1353,0
282137,1755,0
282138,2195,0
282139,2594,0
282140,2904,0
282141,3052,0
282141,3065,0
282142,2937,0
282143,2687,0
282144,2327,0
282145,1914,0
282145,1517,0
282146,1137,0
282147,846,0
282148,693,0
282149,672,0
282149,792,0
282150,1056,0
282151,1419,0
282152,1855,0
282153,2236,0
282153,2631,0
282154,2926,0
282155,3059,0
282156,3069,0
282157,2912,0
282157,2652,0
282158,2255,0
282159,1865,0
282160,1440,0
282161,1089,0
282161,826,0
282162,680,0
282163,685,0
282164,845,0
282165,1098,0
282165,1462,0
282166,1892,0
282167,2327,0
282168,2707,0
282169,2938,0
282169,3066,0
282170,3041,0
282171,2880,0
282172,2585,0
282173,2208,0
282173,1808,0
282174,1393,0
282175,1039,0
282176,792,0
282177,672,0
282177,696,0
282178,863,0
282179,1135,0
282180,1498,0
282181,1906,0
282181,2336,0
282182,2693,0
282183,2951,0
282184,3066,0
282185,3046,0
282185,2880,0
282186,2594,0
282187,2202,0
282188,1789,0
282189,1393,0
282189,1055,0
282190,801,0
282191,676,0
282192,686,0
282192,827,0
282193,1112,0
282194,1498,0
282195,1925,0
282196,2317,0
282196,2688,0
282197,2950,0
282198,3074,0
282199,3047,0
282200,2869,0
282200,2590,0
282201,2183,0
282202,1786,0
282203,1383,0
282204,1046,0
282204,784,0
282205,672,0
282206,695,0
282207,881,0
282208,1152,0
282208,1535,0
282209,1972,0
282210,2396,0
282211,2756,0
282212,2971,0
282212,3076,0
282213,3029,0
282214,2841,0
282215,2523,1422
282218,1127,2132
282221,776,2332
282224,2018,1796
282226,2813,964
282228,2765,270
282230,1949,0
282236,998,938
282238,1863,1754
282240,2959,2312
282242,2876,2338
282247,1012,1445
282248,662,622
282251,1517,83
282257,2640,896
282259,1760,1735
282262,657,2435
282265,1160,2161
282268,2528,1458
282270,2969,529
282272,2335,83
282275,950,161
282278,743,696
282280,1417,1535
282283,2780,2235
282284,3008,2458
282287,2011,2093
282290,760,1377
282292,679,561
282295,1790,100
282297,2676,148
282299,2889,670
282301,2155,1480
282304,844,2222
282307,851,2467
282309,1639,2151
282312,2893,1422
282313,2949,600
282316,1786,100
282318,968,129
282321,759,651
282324,2003,1438
282325,2789,2180
282328,2799,2464
282330,1987,2167
282333,771,1435
282336,978,651
282338,1814,125
282341,2960,106
282342,2874,596
282345,1602,1377
282347,817,2148
282350,883,2470
282353,2200,2212
282355,2909,1493
282357,2650,700
282359,1757,135
282362,658,90
282364,763,558
282367,2016,1377
282369,2985,2106
282371,2772,2461
282374,1438,2235
282376,728,1538
282379,970,729
282382,2377,151
282383,2970,100
282386,2529,548
282388,1623,1312
282391,631,2080
282393,850,2464
282396,2186,2258
282398,3026,1593
282400,2678,754
282403,1300,183
282405,688,0
282405,613,0
282406,685,0
282407,880,0
282408,1170,0
282409,1556,0
282409,1953,0
282410,2333,0
282411,2703,0
282412,2918,0
282413,3018,0
282413,2967,0
282414,2793,0
282415,2482,0
282416,2097,0
282416,1680,0
282417,1274,0
282418,938,0
282419,722,0
282420,622,0
282420,662,0
282421,832,0
282422,1119,0
282423,1472,0
282423,1877,0
282424,2303,0
282425,2654,0
282426,2914,0
282427,3015,0
282428,2982,0
282428,2802,0
282429,2515,0
282430,2137,0
282431,1721,0
282431,1325,0
282433,897,0
282433,712,0
282434,666,0
282435,780,0
282436,1038,0
282437,1353,0
282437,1780,0
282438,2197,0
282439,2589,0
282440,2900,0
282441,3048,0
282442,3067,0
282442,2932,0
282443,2693,0
282444,2333,0
282445,1924,0
282446,1505,0
282446,1142,0
282447,841,0
282448,696,0
282449,667,0
282449,784,0
282450,1024,0
282451,1363,0
282452,1745,0
282453,2150,0
282453,2553,0
282454,2859,0
282455,3048,0
282456,3079,0
282457,2967,0
282457,2724,0
282458,2370,0
282459,1960,0
282460,1552,0
282461,1173,0
282461,875,0
282462,694,0
282463,684,0
282464,783,0
282464,1012,0
282465,1374,0
282466,1782,0
282467,2227,0
282468,2583,0
282469,2884,0
282469,3050,0
282470,3070,0
282471,2937,0
282472,2684,0
282473,2328,0
282473,1888,0
282474,1486,0
282475,1132,0
282476,850,0
282476,689,0
282477,669,0
282478,812,0
282479,1042,0
282480,1386,0
282480,1773,0
282481,2178,0
282482,2588,0
282483,2863,0
282484,3035,0
282484,3065,0
282485,2955,0
282486,2710,0
282487,2353,0
282488,1967,0
282488,1541,0
282489,1149,0
282490,865,0
282491,699,0
282491,668,0
282492,771,0
282493,996,0
282494,1320,0
282495,1699,0
282495,2134,0
282496,2524,0
282497,2862,0
282498,3022,0
282499,3071,0
282499,2973,0
282500,2747,0
282501,2390,0
282502,1989,0
282503,1593,0
282503,1199,0
282504,892,0
282505,720,0
282506,662,0
282506,761,0
282507,972,0
282508,1288,0
282509,1668,0
282510,2086,0
282510,2486,0
282511,2810,0
282512,3030,0
282513,3078,0
282514,2997,0
282514,2766,0
282515,2458,0
282516,2043,0
282517,1629,0
282518,1239,0
282518,925,0
282519,718,0
282520,670,0
282521,751,0
282522,970,0
