Timestamps,Volts
3482.835,1.29
3482.836,1.27
3482.837,1.26
3482.839,1.29
3482.84,1.3
3482.841,1.3
3482.843,1.3
3482.844,1.31
3482.845,1.34
3482.846,1.35
3482.848,1.33
3482.849,1.32
3482.85,1.32
3482.851,1.28
3482.853,1.27
3482.854,1.27
3482.855,1.28
3482.856,1.3
3482.858,1.33
3482.859,1.32
3482.86,1.35
3482.861,1.37
3482.863,1.36
3482.864,1.34
3482.865,1.34
3482.866,1.34
3482.868,1.31
3482.869,1.31
3482.87,1.32
3482.871,1.32
3482.873,1.3
3482.874,1.29
3482.875,1.32
3482.876,1.35
3482.878,1.26
3482.879,1.31
3482.88,1.33
3482.881,1.34
3482.883,1.33
3482.884,1.33
3482.885,1.32
3482.886,1.31
3482.888,1.32
3482.889,1.29
3482.89,1.22
3482.891,1.29
3482.893,1.31
3482.894,1.32
3482.895,1.31
3482.896,1.31
3482.898,1.32
3482.899,1.24
3482.9,1.19
3482.901,1.25
3482.903,1.26
3482.904,1.29
3482.905,1.27
3482.906,1.26
3482.908,1.28
3482.909,1.28
3482.91,1.32
3482.911,1.35
3482.913,1.37
3482.914,1.37
3482.915,1.27
3482.916,1.3
3482.918,1.32
3482.919,1.32
3482.92,1.32
3482.921,1.31
3482.923,1.29
3482.924,1.32
3482.925,1.34
3482.926,1.35
3482.928,1.35
3482.929,1.35
3482.93,1.36
3482.931,1.34
3482.933,1.32
3482.934,1.31
3482.935,1.3
3482.936,1.31
3482.938,1.28
3482.939,1.3
3482.94,1.29
3482.941,1.3
3482.943,1.31
3482.944,1.32
3482.945,1.34
3482.946,1.36
3482.948,1.35
3482.949,1.35
3482.95,1.32
3482.951,1.33
3482.953,1.33
3482.954,1.3
3482.955,1.28
3482.956,1.29
3482.958,1.33
3482.959,1.33
3482.96,1.32
3482.961,1.33
3482.963,1.32
3482.964,1.34
3482.965,1.32
3482.966,1.32
3482.968,1.32
3482.969,1.23
3482.97,1.24
3482.971,1.24
3482.973,1.29
3482.974,1.32
3482.975,1.32
3482.976,1.33
3482.978,1.33
3482.979,1.35
3482.98,1.34
3482.981,1.33
3482.983,1.34
3482.984,1.29
3482.985,1.28
3482.986,1.29
3482.988,1.27
3482.989,1.26
3482.99,1.26
3482.991,1.3
3482.993,1.33
3482.994,1.35
3482.995,1.33
3482.996,1.26
3482.998,1.3
3482.999,1.32
3483,1.33
3483.001,1.33
3483.003,1.32
3483.004,1.29
3483.005,1.31
3483.006,1.31
3483.008,1.32
3483.009,1.33
3483.01,1.36
3483.011,1.35
3483.013,1.36
3483.014,1.34
3483.015,1.26
3483.016,1.29
3483.018,1.3
3483.019,1.3
3483.02,1.28
3483.022,1.3
3483.023,1.3
3483.024,1.28
3483.025,1.33
3483.027,1.35
3483.028,1.36
3483.029,1.35
3483.03,1.34
3483.032,1.31
3483.033,1.34
3483.034,1.33
3483.035,1.3
3483.037,1.29
3483.038,1.3
3483.039,1.27
3483.04,1.28
3483.042,1.3
3483.043,1.33
3483.044,1.33
3483.045,1.25
3483.047,1.32
3483.048,1.34
3483.049,1.34
3483.05,1.33
3483.052,1.29
3483.053,1.27
3483.054,1.26
3483.055,1.25
3483.057,1.26
3483.058,1.28
3483.059,1.31
3483.06,1.32
3483.062,1.35
3483.063,1.37
3483.064,1.36
3483.065,1.27
3483.067,1.29
3483.068,1.28
3483.069,1.32
3483.07,1.22
3483.072,1.26
3483.073,1.29
3483.074,1.27
3483.075,1.31
3483.077,1.32
3483.078,1.35
3483.079,1.27
3483.08,1.29
3483.082,1.32
3483.083,1.31
3483.084,1.31
3483.085,1.3
3483.087,1.21
3483.088,1.25
3483.089,1.27
3483.09,1.28
3483.092,1.33
3483.093,1.31
3483.094,1.34
3483.095,1.36
3483.097,1.36
3483.098,1.32
3483.099,1.25
3483.1,1.28
3483.102,1.3
3483.103,1.29
3483.104,1.31
3483.105,1.29
3483.107,1.31
3483.108,1.33
3483.109,1.34
3483.11,1.33
3483.112,1.32
3483.113,1.33
3483.114,1.32
3483.115,1.33
3483.117,1.3
3483.118,1.28
3483.119,1.27
3483.12,1.26
3483.122,1.28
3483.123,1.3
3483.124,1.32
3483.125,1.34
3483.127,1.32
3483.128,1.33
3483.129,1.33
3483.13,1.33
3483.132,1.33
3483.133,1.32
3483.134,1.3
3483.135,1.32
3483.137,1.31
3483.138,1.28
3483.139,1.27
3483.14,1.28
3483.142,1.28
3483.143,1.31
3483.144,1.33
3483.145,1.35
3483.147,1.34
3483.148,1.36
3483.149,1.34
3483.15,1.3
3483.152,1.27
3483.153,1.25
3483.154,1.27
3483.155,1.26
3483.157,1.3
3483.158,1.32
3483.159,1.34
3483.16,1.35
3483.164,1.38
3483.165,1.37
3483.166,1.32
3483.167,1.33
3483.169,1.29
3483.17,1.3
3483.171,1.31
3483.172,1.3
3483.174,1.32
3483.175,1.29
3483.176,1.33
3483.177,1.31
3483.179,1.25
3483.18,1.31
3483.181,1.34
3483.182,1.31
3483.184,1.32
3483.185,1.32
3483.186,1.3
3483.187,1.27
3483.189,1.26
3483.19,1.21
3483.191,1.26
3483.192,1.31
3483.194,1.33
3483.195,1.33
3483.196,1.35
3483.198,1.36
3483.199,1.36
3483.2,1.31
3483.201,1.32
3483.203,1.28
3483.204,1.29
3483.205,1.32
3483.206,1.33
3483.208,1.31
3483.209,1.33
3483.21,1.33
3483.211,1.32
3483.213,1.33
3483.214,1.32
3483.215,1.34
3483.216,1.35
3483.218,1.34
3483.219,1.32
3483.22,1.32
3483.221,1.29
3483.223,1.31
3483.224,1.31
3483.225,1.33
3483.226,1.32
3483.228,1.32
3483.229,1.31
3483.23,1.34
3483.231,1.35
3483.233,1.35
3483.234,1.3
3483.235,1.28
3483.236,1.3
3483.238,1.31
3483.239,1.31
3483.24,1.29
3483.241,1.31
3483.243,1.25
3483.244,1.3
3483.245,1.31
3483.246,1.32
3483.248,1.25
3483.249,1.27
3483.25,1.29
3483.251,1.3
3483.253,1.28
3483.254,1.3
3483.255,1.32
3483.256,1.32
3483.258,1.31
3483.259,1.33
3483.26,1.26
3483.261,1.29
3483.263,1.3
3483.264,1.33
3483.265,1.35
3483.266,1.35
3483.268,1.32
3483.269,1.32
3483.27,1.3
3483.271,1.29
3483.273,1.3
3483.274,1.3
3483.275,1.29
3483.276,1.34
3483.278,1.36
3483.279,1.37
3483.28,1.37
3483.281,1.37
3483.283,1.35
3483.284,1.32
3483.285,1.32
3483.286,1.3
3483.288,1.29
3483.289,1.28
3483.29,1.31
3483.291,1.31
3483.293,1.36
3483.294,1.37
3483.295,1.38
3483.296,1.34
3483.298,1.32
3483.299,1.31
3483.3,1.32
3483.301,1.3
3483.303,1.3
3483.304,1.28
3483.305,1.3
3483.306,1.28
3483.308,1.31
3483.309,1.33
3483.31,1.26
3483.311,1.31
3483.313,1.31
3483.314,1.35
3483.315,1.33
3483.316,1.3
3483.318,1.29
3483.319,1.3
3483.32,1.31
3483.321,1.32
3483.323,1.3
3483.324,1.29
3483.325,1.3
3483.326,1.3
3483.328,1.33
3483.329,1.35
3483.33,1.34
3483.331,1.31
3483.333,1.34
3483.334,1.3
3483.335,1.3
3483.336,1.3
3483.338,1.3
3483.339,1.32
3483.34,1.31
3483.341,1.32
3483.343,1.29
3483.344,1.31
3483.345,1.34
3483.346,1.34
3483.348,1.36
3483.349,1.36
3483.35,1.34
3483.351,1.31
3483.353,1.31
3483.354,1.28
3483.355,1.31
3483.356,1.31
3483.358,1.29
3483.359,1.31
3483.36,1.35
3483.361,1.35
3483.363,1.35
3483.364,1.33
3483.365,1.34
3483.366,1.32
3483.368,1.32
3483.369,1.29
3483.37,1.3
3483.371,1.3
3483.373,1.31
3483.374,1.29
3483.375,1.31
3483.376,1.33
3483.378,1.32
3483.379,1.34
3483.38,1.31
3483.381,1.34
3483.383,1.32
3483.384,1.29
3483.385,1.31
3483.386,1.32
3483.388,1.32
3483.389,1.32
3483.39,1.33
3483.391,1.3
3483.393,1.33
3483.394,1.34
3483.395,1.33
3483.396,1.33
3483.398,1.33
3483.399,1.3
3483.4,1.31
3483.401,1.32
3483.403,1.32
3483.404,1.28
3483.405,1.27
3483.406,1.29
3483.408,1.28
3483.409,1.32
3483.41,1.34
3483.411,1.33
3483.413,1.33
3483.414,1.34
3483.415,1.34
3483.416,1.35
3483.418,1.34
3483.419,1.3
3483.42,1.3
