Timestamps,Volts
3256.184,1.31
3256.185,1.29
3256.186,1.28
3256.188,1.29
3256.189,1.28
3256.19,1.29
3256.191,1.29
3256.193,1.31
3256.194,1.34
3256.195,1.33
3256.196,1.32
3256.198,1.32
3256.199,1.23
3256.2,1.27
3256.201,1.24
3256.203,1.26
3256.204,1.29
3256.205,1.29
3256.206,1.3
3256.208,1.32
3256.209,1.29
3256.21,1.24
3256.211,1.27
3256.213,1.32
3256.214,1.32
3256.215,1.32
3256.216,1.33
3256.218,1.32
3256.219,1.31
3256.22,1.28
3256.221,1.28
3256.223,1.31
3256.224,1.32
3256.225,1.33
3256.226,1.36
3256.228,1.36
3256.229,1.35
3256.23,1.35
3256.231,1.34
3256.233,1.34
3256.234,1.31
3256.235,1.31
3256.236,1.29
3256.238,1.21
3256.239,1.26
3256.24,1.29
3256.241,1.29
3256.243,1.31
3256.244,1.32
3256.245,1.33
3256.246,1.35
3256.248,1.35
3256.249,1.34
3256.25,1.3
3256.251,1.31
3256.253,1.28
3256.254,1.29
3256.255,1.22
3256.256,1.26
3256.258,1.29
3256.259,1.32
3256.26,1.32
3256.261,1.35
3256.263,1.36
3256.264,1.37
3256.265,1.35
3256.266,1.34
3256.268,1.33
3256.269,1.32
3256.27,1.31
3256.271,1.27
3256.273,1.3
3256.274,1.31
3256.275,1.3
3256.276,1.33
3256.278,1.34
3256.279,1.36
3256.28,1.34
3256.281,1.35
3256.283,1.32
3256.284,1.3
3256.285,1.28
3256.286,1.31
3256.288,1.21
3256.289,1.24
3256.29,1.29
3256.291,1.33
3256.293,1.32
3256.294,1.34
3256.295,1.33
3256.296,1.32
3256.298,1.34
3256.299,1.32
3256.3,1.31
3256.301,1.3
3256.303,1.28
3256.304,1.3
3256.305,1.29
3256.306,1.31
3256.308,1.34
3256.309,1.34
3256.31,1.33
3256.311,1.33
3256.313,1.26
3256.314,1.28
3256.315,1.29
3256.316,1.28
3256.318,1.31
3256.319,1.31
3256.32,1.31
3256.321,1.29
3256.323,1.29
3256.324,1.28
3256.325,1.29
3256.326,1.3
3256.328,1.34
3256.329,1.34
3256.33,1.32
3256.331,1.31
3256.333,1.29
3256.334,1.28
3256.335,1.28
3256.336,1.27
3256.338,1.29
3256.339,1.28
3256.34,1.31
3256.341,1.33
3256.343,1.31
3256.344,1.35
3256.345,1.33
3256.346,1.35
3256.348,1.35
3256.349,1.31
3256.35,1.29
3256.351,1.3
3256.353,1.28
3256.354,1.27
3256.355,1.28
3256.356,1.29
3256.358,1.33
3256.359,1.35
3256.36,1.33
3256.361,1.32
3256.363,1.34
3256.364,1.34
3256.365,1.31
3256.366,1.3
3256.368,1.3
3256.369,1.29
3256.37,1.29
3256.371,1.31
3256.373,1.28
3256.374,1.27
3256.375,1.23
3256.376,1.28
3256.378,1.31
3256.379,1.25
3256.38,1.3
3256.381,1.32
3256.383,1.29
3256.384,1.28
3256.385,1.29
3256.386,1.31
3256.388,1.22
3256.389,1.27
3256.39,1.3
3256.392,1.33
3256.393,1.25
3256.394,1.31
3256.395,1.3
3256.397,1.34
3256.398,1.35
3256.399,1.35
3256.4,1.34
3256.402,1.29
3256.403,1.27
3256.404,1.28
3256.405,1.3
3256.407,1.32
3256.408,1.31
3256.409,1.25
3256.41,1.31
3256.412,1.34
3256.413,1.33
3256.414,1.33
3256.415,1.34
3256.417,1.31
3256.418,1.22
3256.419,1.25
3256.42,1.27
3256.422,1.29
3256.423,1.31
3256.424,1.33
3256.425,1.35
3256.427,1.37
3256.428,1.36
3256.429,1.35
3256.43,1.33
3256.432,1.3
3256.433,1.29
3256.434,1.3
3256.435,1.3
3256.437,1.31
3256.438,1.31
3256.439,1.32
3256.44,1.3
3256.442,1.31
3256.443,1.34
3256.444,1.36
3256.445,1.34
3256.447,1.33
3256.448,1.34
3256.449,1.32
3256.45,1.33
3256.452,1.33
3256.453,1.33
3256.454,1.29
3256.455,1.31
3256.457,1.29
3256.458,1.31
3256.459,1.34
3256.46,1.31
3256.462,1.35
3256.463,1.36
3256.464,1.36
3256.465,1.35
3256.467,1.31
3256.468,1.31
3256.469,1.31
3256.47,1.32
3256.472,1.3
3256.473,1.29
3256.474,1.3
3256.475,1.31
3256.477,1.32
3256.478,1.33
3256.479,1.33
3256.48,1.35
3256.482,1.36
3256.483,1.32
3256.484,1.32
3256.485,1.29
3256.487,1.3
3256.488,1.31
3256.489,1.31
3256.49,1.29
3256.492,1.29
3256.493,1.33
3256.494,1.35
3256.495,1.32
3256.497,1.35
3256.498,1.36
3256.499,1.35
3256.5,1.31
3256.502,1.32
3256.503,1.29
3256.504,1.31
3256.505,1.31
3256.507,1.32
3256.508,1.35
3256.509,1.33
3256.51,1.34
3256.512,1.34
3256.513,1.35
3256.514,1.32
3256.515,1.34
3256.517,1.34
3256.518,1.29
3256.519,1.27
3256.52,1.2
3256.522,1.25
3256.523,1.28
3256.524,1.32
3256.525,1.32
3256.527,1.35
3256.528,1.35
3256.529,1.33
3256.53,1.33
3256.532,1.31
3256.533,1.3
3256.534,1.28
3256.535,1.29
3256.537,1.27
3256.538,1.3
3256.539,1.32
3256.54,1.33
3256.542,1.34
3256.543,1.32
3256.544,1.33
3256.545,1.33
3256.547,1.35
3256.548,1.33
3256.549,1.33
3256.55,1.3
3256.552,1.29
3256.553,1.26
3256.554,1.25
3256.555,1.25
3256.557,1.3
3256.558,1.32
3256.559,1.34
3256.56,1.36
3256.562,1.37
3256.563,1.37
3256.564,1.33
3256.566,1.34
3256.567,1.3
3256.568,1.28
3256.569,1.27
3256.571,1.27
3256.572,1.29
3256.573,1.28
3256.574,1.33
3256.576,1.33
3256.577,1.32
3256.578,1.32
3256.579,1.33
3256.581,1.34
3256.582,1.31
3256.583,1.29
3256.584,1.28
3256.586,1.2
3256.587,1.25
3256.588,1.25
3256.589,1.26
3256.591,1.28
3256.592,1.31
3256.593,1.34
3256.594,1.33
3256.596,1.32
3256.597,1.35
3256.598,1.32
3256.599,1.31
3256.601,1.32
3256.602,1.3
3256.603,1.29
3256.604,1.29
3256.606,1.3
3256.607,1.28
3256.608,1.29
3256.609,1.23
3256.611,1.28
3256.612,1.3
3256.613,1.3
3256.614,1.32
3256.616,1.33
3256.617,1.31
3256.618,1.29
3256.619,1.29
3256.621,1.31
3256.622,1.28
3256.623,1.3
3256.624,1.31
3256.626,1.34
3256.627,1.33
3256.628,1.36
3256.629,1.34
3256.631,1.36
3256.632,1.33
3256.633,1.33
3256.634,1.33
3256.636,1.32
3256.637,1.3
3256.638,1.28
3256.639,1.28
3256.641,1.29
3256.642,1.34
3256.643,1.35
3256.644,1.36
3256.646,1.35
3256.647,1.37
3256.648,1.37
3256.649,1.31
3256.651,1.32
3256.652,1.31
3256.653,1.29
3256.654,1.28
3256.656,1.26
3256.657,1.28
3256.658,1.31
3256.659,1.35
3256.661,1.33
3256.662,1.32
3256.663,1.31
3256.664,1.34
3256.666,1.35
3256.667,1.33
3256.668,1.31
3256.669,1.28
3256.671,1.28
3256.672,1.27
3256.673,1.3
3256.674,1.23
3256.676,1.3
3256.677,1.33
3256.678,1.35
3256.679,1.36
3256.681,1.37
3256.682,1.36
3256.683,1.35
3256.684,1.31
3256.686,1.31
3256.687,1.29
3256.688,1.29
3256.689,1.32
3256.691,1.34
3256.692,1.34
3256.693,1.36
3256.694,1.27
3256.696,1.33
3256.697,1.31
3256.698,1.29
3256.699,1.32
3256.701,1.29
3256.702,1.28
3256.703,1.2
3256.704,1.16
3256.706,1.22
3256.707,1.25
3256.708,1.22
3256.709,1.19
3256.711,1.25
3256.712,1.31
3256.713,1.31
3256.714,1.33
3256.716,1.33
3256.717,1.33
3256.718,1.32
3256.719,1.32
3256.721,1.31
3256.722,1.3
3256.723,1.29
3256.724,1.33
3256.726,1.31
3256.727,1.34
3256.728,1.35
3256.729,1.33
3256.731,1.33
3256.732,1.32
3256.733,1.29
3256.734,1.3
3256.736,1.3
3256.737,1.27
3256.738,1.27
3256.739,1.3
3256.741,1.33
3256.742,1.33
3256.743,1.32
3256.745,1.32
3256.746,1.34
3256.747,1.24
3256.748,1.29
3256.75,1.31
3256.751,1.21
3256.752,1.24
3256.753,1.26
3256.755,1.28
3256.756,1.3
3256.757,1.28
3256.758,1.29
3256.76,1.31
3256.761,1.34
3256.762,1.35
3256.763,1.33
3256.765,1.32
3256.766,1.33
3256.767,1.33
3256.768,1.3
3256.77,1.28
3256.771,1.26
3256.772,1.26
3256.773,1.27
3256.775,1.31
3256.776,1.32
3256.777,1.32
3256.778,1.35
3256.78,1.34
3256.781,1.36
3256.782,1.35
3256.783,1.34
3256.785,1.31
3256.786,1.29
3256.787,1.27
3256.788,1.3
3256.79,1.31
3256.791,1.31
3256.792,1.33
3256.793,1.35
3256.795,1.37
3256.796,1.34
3256.797,1.35
3256.798,1.33
3256.8,1.31
3256.801,1.22
3256.802,1.23
3256.803,1.25
3256.805,1.28
3256.806,1.28
3256.807,1.27
3256.808,1.28
3256.81,1.21
3256.811,1.3
3256.812,1.31
3256.813,1.33
3256.815,1.31
3256.816,1.33
3256.817,1.33
3256.818,1.32
3256.82,1.29
3256.821,1.27
3256.822,1.3
3256.823,1.33
3256.825,1.31
3256.826,1.33
3256.827,1.33
3256.828,1.32
3256.83,1.34
3256.831,1.35
3256.832,1.33
3256.833,1.29
3256.835,1.31
3256.836,1.32
3256.837,1.32
3256.838,1.3
3256.84,1.31
3256.841,1.32
3256.842,1.34
3256.843,1.35
3256.845,1.35
3256.846,1.37
3256.847,1.35
3256.848,1.34
3256.85,1.3
3256.851,1.29
3256.852,1.31
3256.853,1.29
3256.855,1.3
3256.856,1.3
3256.857,1.31
3256.858,1.33
3256.86,1.32
3256.861,1.25
3256.862,1.31
3256.863,1.33
3256.865,1.33
3256.866,1.32
3256.867,1.33
3256.868,1.31
3256.87,1.31
3256.871,1.3
3256.872,1.27
3256.873,1.27
3256.875,1.29
3256.876,1.32
3256.877,1.33
3256.878,1.34
3256.88,1.36
3256.881,1.33
3256.882,1.33
3256.883,1.33
3256.885,1.3
3256.886,1.28
3256.887,1.27
3256.888,1.28
3256.89,1.27
3256.891,1.31
3256.892,1.3
3256.893,1.31
3256.895,1.31
3256.896,1.33
3256.897,1.33
3256.898,1.34
3256.9,1.33
3256.901,1.32
3256.902,1.3
3256.903,1.29
3256.905,1.29
3256.906,1.29
3256.907,1.28
3256.908,1.28
3256.91,1.31
3256.911,1.3
3256.912,1.34
3256.913,1.33
3256.915,1.35
3256.916,1.35
3256.917,1.33
3256.918,1.32
3256.92,1.29
3256.921,1.31
3256.922,1.31
3256.923,1.32
3256.925,1.31
3256.926,1.31
3256.927,1.33
3256.929,1.36
3256.93,1.37
3256.931,1.37
3256.932,1.35
3256.934,1.35
3256.935,1.35
3256.936,1.3
3256.937,1.26
3256.939,1.26
3256.94,1.29
3256.941,1.3
3256.942,1.24
3256.944,1.28
3256.945,1.3
3256.946,1.32
3256.947,1.25
3256.949,1.28
3256.95,1.31
3256.951,1.32
3256.952,1.23
3256.954,1.24
3256.955,1.26
3256.956,1.28
3256.957,1.31
3256.959,1.35
3256.96,1.36
3256.961,1.36
3256.962,1.34
3256.964,1.35
3256.965,1.32
3256.966,1.34
3256.967,1.33
3256.969,1.29
3256.97,1.31
3256.971,1.31
3256.972,1.29
3256.974,1.29
3256.975,1.3
3256.976,1.33
3256.977,1.35
3256.979,1.33
3256.98,1.26
3256.981,1.29
3256.982,1.33
3256.984,1.33
3256.985,1.31
3256.986,1.32
3256.987,1.28
3256.989,1.31
3256.99,1.33
3256.991,1.33
3256.992,1.31
3256.994,1.32
3256.995,1.34
3256.996,1.34
3256.997,1.31
3256.999,1.31
3257,1.31
3257.001,1.23
3257.002,1.24
3257.004,1.25
3257.005,1.28
3257.006,1.3
3257.007,1.32
3257.009,1.33
3257.01,1.33
3257.011,1.26
3257.012,1.31
3257.014,1.32
3257.015,1.34
3257.016,1.34
3257.017,1.33
3257.019,1.3
3257.02,1.31
3257.021,1.29
3257.022,1.3
3257.024,1.29
3257.025,1.33
3257.026,1.34
3257.027,1.32
3257.029,1.35
3257.03,1.36
3257.031,1.33
3257.032,1.34
3257.034,1.33
3257.035,1.34
3257.036,1.32
3257.037,1.33
3257.039,1.32
3257.04,1.29
3257.041,1.31
3257.042,1.33
3257.044,1.31
3257.045,1.32
3257.046,1.34
3257.047,1.31
3257.049,1.3
3257.05,1.32
3257.051,1.23
3257.052,1.24
3257.054,1.25
3257.055,1.28
3257.056,1.31
3257.057,1.33
3257.059,1.33
3257.06,1.31
3257.061,1.31
3257.062,1.35
3257.064,1.36
3257.065,1.37
3257.066,1.33
3257.067,1.32
3257.069,1.29
3257.07,1.29
3257.071,1.29
3257.072,1.28
3257.074,1.31
3257.075,1.3
3257.076,1.31
3257.077,1.33
3257.079,1.35
3257.08,1.33
3257.081,1.33
3257.082,1.32
3257.084,1.3
3257.085,1.3
3257.086,1.29
3257.087,1.26
3257.089,1.27
3257.09,1.28
3257.091,1.29
3257.092,1.34
3257.094,1.35
3257.095,1.35
3257.096,1.37
3257.097,1.34
3257.099,1.32
3257.1,1.23
3257.101,1.25
3257.102,1.25
3257.104,1.29
3257.105,1.3
3257.106,1.28
3257.107,1.3
3257.109,1.33
3257.11,1.34
3257.111,1.34
3257.112,1.34
3257.114,1.34
3257.115,1.35
3257.116,1.33
3257.117,1.29
3257.119,1.3
3257.12,1.3
3257.121,1.31
3257.122,1.31
3257.124,1.33
3257.125,1.32
3257.126,1.33
3257.127,1.33
3257.129,1.33
3257.13,1.32
3257.131,1.33
3257.132,1.32
3257.134,1.33
3257.135,1.3
3257.136,1.28
3257.137,1.28
3257.139,1.29
3257.14,1.31
3257.141,1.31
3257.142,1.33
3257.144,1.35
3257.145,1.37
3257.146,1.36
3257.147,1.36
3257.149,1.36
3257.15,1.32
3257.151,1.29
3257.153,1.3
3257.154,1.28
3257.155,1.28
3257.156,1.27
3257.157,1.31
3257.159,1.34
3257.16,1.34
3257.161,1.33
3257.163,1.33
3257.164,1.33
3257.165,1.35
3257.166,1.31
3257.168,1.28
3257.169,1.28
3257.17,1.28
3257.171,1.27
3257.173,1.27
3257.174,1.28
3257.175,1.28
3257.176,1.29
3257.178,1.31
3257.179,1.32
3257.18,1.35
3257.181,1.36
3257.183,1.35
3257.184,1.24
3257.185,1.25
3257.186,1.24
3257.188,1.25
3257.189,1.26
