Timestamps,Volts
3149.153,1.32
3149.154,1.32
3149.155,1.31
3149.157,1.32
3149.158,1.34
3149.159,1.33
3149.16,1.25
3149.162,1.29
3149.163,1.29
3149.164,1.29
3149.165,1.28
3149.167,1.29
3149.168,1.31
3149.169,1.33
3149.17,1.33
3149.172,1.31
3149.173,1.34
3149.174,1.34
3149.175,1.35
3149.177,1.32
3149.178,1.3
3149.179,1.3
3149.18,1.28
3149.182,1.28
3149.183,1.26
3149.184,1.2
3149.185,1.26
3149.187,1.31
3149.188,1.34
3149.189,1.26
3149.19,1.28
3149.192,1.29
3149.193,1.32
3149.194,1.33
3149.195,1.33
3149.197,1.29
3149.198,1.26
3149.199,1.2
3149.2,1.26
3149.202,1.27
3149.203,1.31
3149.204,1.33
3149.205,1.32
3149.207,1.25
3149.208,1.28
3149.209,1.31
3149.21,1.3
3149.212,1.28
3149.213,1.29
3149.214,1.28
3149.215,1.28
3149.217,1.27
3149.218,1.3
3149.219,1.33
3149.22,1.35
3149.222,1.36
3149.223,1.33
3149.224,1.34
3149.225,1.35
3149.227,1.36
3149.228,1.35
3149.229,1.33
3149.23,1.31
3149.232,1.29
3149.233,1.31
3149.234,1.28
3149.235,1.31
3149.237,1.33
3149.238,1.34
3149.239,1.36
3149.24,1.37
3149.242,1.34
3149.243,1.34
3149.244,1.34
3149.245,1.29
3149.247,1.28
3149.248,1.27
3149.249,1.26
3149.251,1.27
3149.252,1.29
3149.253,1.3
3149.254,1.34
3149.256,1.33
3149.257,1.35
3149.258,1.36
3149.259,1.36
3149.261,1.33
3149.262,1.33
3149.263,1.33
3149.264,1.31
3149.266,1.32
3149.267,1.28
3149.268,1.31
3149.269,1.33
3149.271,1.35
3149.272,1.33
3149.273,1.34
3149.274,1.36
3149.276,1.36
3149.277,1.35
3149.278,1.25
3149.279,1.27
3149.281,1.29
3149.282,1.3
3149.283,1.28
3149.284,1.3
3149.286,1.32
3149.287,1.33
3149.288,1.36
3149.289,1.34
3149.291,1.33
3149.292,1.32
3149.293,1.33
3149.294,1.31
3149.296,1.3
3149.297,1.28
3149.298,1.26
3149.299,1.29
3149.301,1.26
3149.302,1.26
3149.303,1.27
3149.304,1.28
3149.306,1.29
3149.307,1.31
3149.308,1.24
3149.309,1.21
3149.311,1.24
3149.312,1.27
3149.313,1.29
3149.314,1.29
3149.316,1.29
3149.317,1.29
3149.318,1.32
3149.319,1.31
3149.321,1.35
3149.322,1.35
3149.323,1.35
3149.324,1.36
3149.326,1.35
3149.327,1.34
3149.328,1.31
3149.329,1.31
3149.331,1.31
3149.332,1.31
3149.333,1.31
3149.334,1.33
3149.336,1.23
3149.337,1.26
3149.338,1.29
3149.339,1.31
3149.341,1.31
3149.342,1.3
3149.343,1.31
3149.344,1.31
3149.346,1.33
3149.347,1.32
3149.348,1.29
3149.349,1.27
3149.351,1.29
3149.352,1.27
3149.353,1.29
3149.354,1.3
3149.356,1.33
3149.357,1.35
3149.358,1.33
3149.359,1.35
3149.361,1.26
3149.362,1.27
3149.363,1.29
3149.364,1.3
3149.366,1.29
3149.367,1.3
3149.368,1.28
3149.369,1.28
3149.371,1.31
3149.372,1.31
3149.373,1.33
3149.374,1.35
3149.376,1.37
3149.377,1.35
3149.378,1.33
3149.379,1.32
3149.381,1.27
3149.382,1.25
3149.383,1.28
3149.384,1.21
3149.386,1.23
3149.387,1.29
3149.388,1.33
3149.389,1.33
3149.391,1.25
3149.392,1.3
3149.393,1.33
3149.394,1.33
3149.396,1.3
3149.397,1.27
3149.398,1.3
3149.399,1.29
3149.401,1.3
3149.402,1.33
3149.403,1.33
3149.404,1.32
3149.406,1.33
3149.407,1.36
3149.408,1.34
3149.409,1.33
3149.411,1.34
3149.412,1.33
3149.413,1.33
3149.414,1.32
3149.416,1.22
3149.417,1.23
3149.418,1.29
3149.419,1.29
3149.421,1.33
3149.422,1.31
3149.423,1.32
3149.424,1.35
3149.426,1.36
3149.427,1.35
3149.428,1.32
3149.429,1.32
3149.431,1.32
3149.432,1.27
3149.433,1.28
3149.434,1.3
3149.436,1.31
3149.437,1.33
3149.438,1.25
3149.439,1.29
3149.441,1.33
3149.442,1.34
3149.443,1.33
3149.445,1.34
3149.446,1.33
3149.447,1.32
3149.448,1.31
3149.45,1.3
3149.451,1.22
3149.452,1.24
3149.453,1.29
3149.455,1.31
3149.456,1.33
3149.457,1.32
3149.458,1.26
3149.46,1.29
3149.461,1.31
3149.462,1.28
3149.463,1.27
3149.465,1.29
3149.466,1.3
3149.467,1.29
3149.468,1.26
3149.47,1.27
3149.471,1.31
3149.472,1.32
3149.473,1.34
3149.475,1.36
3149.476,1.35
3149.477,1.34
3149.478,1.34
3149.48,1.31
3149.481,1.31
3149.482,1.32
3149.483,1.29
3149.485,1.31
3149.486,1.29
3149.487,1.31
3149.488,1.31
3149.49,1.33
3149.491,1.34
3149.492,1.26
3149.493,1.3
3149.495,1.3
3149.496,1.29
3149.497,1.3
3149.498,1.31
3149.5,1.3
3149.501,1.28
3149.502,1.28
3149.503,1.31
3149.505,1.33
3149.506,1.36
3149.507,1.28
3149.508,1.32
3149.51,1.3
3149.511,1.32
3149.512,1.22
3149.513,1.26
3149.515,1.27
3149.516,1.27
3149.517,1.19
3149.518,1.24
3149.52,1.29
3149.521,1.29
3149.522,1.32
3149.523,1.35
3149.525,1.35
3149.526,1.33
3149.527,1.32
3149.528,1.33
3149.53,1.33
3149.531,1.3
3149.532,1.29
3149.533,1.29
3149.535,1.29
3149.536,1.21
3149.537,1.19
3149.538,1.27
3149.54,1.32
3149.541,1.33
3149.542,1.34
3149.543,1.32
3149.545,1.24
3149.546,1.26
3149.547,1.26
3149.548,1.27
3149.55,1.28
3149.551,1.31
3149.552,1.29
3149.553,1.32
3149.555,1.31
3149.556,1.32
3149.557,1.34
3149.558,1.34
3149.56,1.33
3149.561,1.32
3149.562,1.3
3149.563,1.28
3149.565,1.28
3149.566,1.26
3149.567,1.2
3149.568,1.23
3149.57,1.25
3149.571,1.3
3149.572,1.3
3149.573,1.25
3149.575,1.21
3149.576,1.27
3149.577,1.28
3149.578,1.27
3149.58,1.3
3149.581,1.29
3149.582,1.3
3149.583,1.3
3149.585,1.3
3149.586,1.3
3149.587,1.32
3149.588,1.31
3149.59,1.32
3149.591,1.33
3149.592,1.32
3149.593,1.34
3149.595,1.34
3149.596,1.33
3149.597,1.33
3149.598,1.3
3149.6,1.28
3149.601,1.21
3149.602,1.27
3149.603,1.3
3149.605,1.32
3149.606,1.31
3149.607,1.33
3149.608,1.31
3149.61,1.34
3149.611,1.32
3149.612,1.3
3149.613,1.3
3149.615,1.27
3149.616,1.28
3149.617,1.29
3149.618,1.3
3149.62,1.33
3149.621,1.35
3149.622,1.35
3149.623,1.35
3149.625,1.33
3149.626,1.35
3149.627,1.36
3149.628,1.33
3149.63,1.31
3149.631,1.32
3149.632,1.22
3149.634,1.25
3149.635,1.29
3149.636,1.29
3149.637,1.29
3149.639,1.32
3149.64,1.33
3149.641,1.31
3149.642,1.33
3149.644,1.35
3149.645,1.34
3149.646,1.32
3149.647,1.31
3149.649,1.31
3149.65,1.31
3149.651,1.3
3149.652,1.29
3149.654,1.32
3149.655,1.33
3149.656,1.36
3149.657,1.37
3149.659,1.37
3149.66,1.37
3149.661,1.33
3149.662,1.33
3149.664,1.3
3149.665,1.3
3149.666,1.28
3149.667,1.27
3149.669,1.3
3149.67,1.28
3149.671,1.34
3149.672,1.32
3149.674,1.32
3149.675,1.32
3149.676,1.31
3149.677,1.33
3149.679,1.33
3149.68,1.32
3149.681,1.29
3149.682,1.28
3149.684,1.29
3149.685,1.28
3149.686,1.31
3149.687,1.33
3149.689,1.34
3149.69,1.32
3149.691,1.32
3149.692,1.31
3149.694,1.31
3149.695,1.3
3149.696,1.31
3149.697,1.28
3149.699,1.28
3149.7,1.3
3149.701,1.28
3149.702,1.31
3149.704,1.23
3149.705,1.21
3149.706,1.29
3149.707,1.32
3149.709,1.3
3149.71,1.34
3149.711,1.3
3149.712,1.31
3149.714,1.28
3149.715,1.3
3149.716,1.31
3149.717,1.28
3149.719,1.31
3149.72,1.3
3149.721,1.34
3149.722,1.32
3149.724,1.34
3149.725,1.32
3149.726,1.36
3149.727,1.32
3149.729,1.32
3149.73,1.3
3149.731,1.29
3149.732,1.28
3149.734,1.28
3149.735,1.3
3149.736,1.3
3149.737,1.3
3149.739,1.3
3149.74,1.31
3149.741,1.36
3149.742,1.37
3149.744,1.36
3149.745,1.31
3149.746,1.31
3149.747,1.28
3149.749,1.26
3149.75,1.25
3149.751,1.29
3149.752,1.31
3149.754,1.31
3149.755,1.31
3149.756,1.32
3149.757,1.32
3149.759,1.31
3149.76,1.33
3149.761,1.33
3149.762,1.34
3149.764,1.3
3149.765,1.28
3149.766,1.26
3149.767,1.27
3149.769,1.3
3149.77,1.29
3149.771,1.31
3149.772,1.35
3149.774,1.33
3149.775,1.32
3149.776,1.32
3149.777,1.3
3149.779,1.32
3149.78,1.3
3149.781,1.32
3149.782,1.33
3149.784,1.29
3149.785,1.31
3149.786,1.33
3149.787,1.32
3149.789,1.34
3149.79,1.36
3149.791,1.34
3149.792,1.35
3149.794,1.35
3149.795,1.36
3149.796,1.32
3149.797,1.32
3149.799,1.29
3149.8,1.28
3149.801,1.31
3149.802,1.32
3149.804,1.31
3149.805,1.34
3149.806,1.36
3149.807,1.35
3149.809,1.36
3149.81,1.34
3149.811,1.31
3149.812,1.31
3149.814,1.28
3149.815,1.27
3149.816,1.28
3149.818,1.28
3149.819,1.3
3149.82,1.29
3149.821,1.29
3149.823,1.34
3149.824,1.32
3149.825,1.31
3149.826,1.34
3149.828,1.35
3149.829,1.34
3149.83,1.33
3149.831,1.3
3149.833,1.28
3149.834,1.29
3149.835,1.31
3149.836,1.33
3149.838,1.33
3149.839,1.34
3149.84,1.36
3149.841,1.36
3149.843,1.36
3149.844,1.35
3149.845,1.34
3149.846,1.32
3149.848,1.29
3149.849,1.28
3149.85,1.26
3149.851,1.27
3149.853,1.29
3149.854,1.3
3149.855,1.3
3149.856,1.3
3149.858,1.31
3149.859,1.34
3149.86,1.32
3149.861,1.33
3149.863,1.33
3149.864,1.33
3149.865,1.31
3149.866,1.22
3149.868,1.25
3149.869,1.29
3149.87,1.31
3149.871,1.33
3149.873,1.35
3149.874,1.36
3149.875,1.27
3149.876,1.31
3149.878,1.29
3149.879,1.32
3149.88,1.29
3149.881,1.31
3149.883,1.29
3149.884,1.29
3149.885,1.31
3149.886,1.31
3149.888,1.34
3149.889,1.33
3149.89,1.36
3149.891,1.36
3149.893,1.34
3149.894,1.32
3149.895,1.24
3149.896,1.26
3149.898,1.29
3149.899,1.3
3149.9,1.26
3149.901,1.29
3149.903,1.32
3149.904,1.32
3149.905,1.33
3149.906,1.35
3149.908,1.36
3149.909,1.36
3149.91,1.33
3149.911,1.34
3149.913,1.31
3149.914,1.29
3149.915,1.28
3149.916,1.26
3149.918,1.26
3149.919,1.2
3149.92,1.23
3149.921,1.29
3149.923,1.32
3149.924,1.34
3149.925,1.35
3149.926,1.36
3149.928,1.36
3149.929,1.31
3149.93,1.31
3149.931,1.32
3149.933,1.31
3149.934,1.31
3149.935,1.22
3149.936,1.27
3149.938,1.32
3149.939,1.33
3149.94,1.34
3149.941,1.33
3149.943,1.36
3149.944,1.26
3149.945,1.27
3149.946,1.2
3149.948,1.25
3149.949,1.27
3149.95,1.27
3149.951,1.29
3149.953,1.28
3149.954,1.28
3149.955,1.28
3149.956,1.32
3149.958,1.35
3149.959,1.34
3149.96,1.34
3149.961,1.36
3149.963,1.34
3149.964,1.33
3149.965,1.32
3149.966,1.32
3149.968,1.31
3149.969,1.29
3149.97,1.31
3149.971,1.3
3149.973,1.33
3149.974,1.26
3149.975,1.28
3149.976,1.27
3149.978,1.31
3149.979,1.29
3149.98,1.31
3149.981,1.3
3149.983,1.2
3149.984,1.23
3149.985,1.24
3149.986,1.27
3149.988,1.3
3149.989,1.32
3149.99,1.36
3149.991,1.36
3149.993,1.36
3149.994,1.36
3149.995,1.32
3149.996,1.3
3149.998,1.31
3149.999,1.3
3150,1.32
3150.001,1.33
3150.003,1.33
3150.004,1.3
3150.005,1.32
3150.006,1.31
3150.008,1.32
3150.009,1.32
3150.01,1.34
3150.011,1.32
3150.013,1.29
3150.014,1.29
3150.015,1.29
3150.016,1.28
3150.018,1.29
3150.019,1.31
3150.02,1.3
3150.021,1.29
3150.023,1.33
3150.024,1.36
3150.025,1.37
3150.026,1.35
3150.028,1.35
3150.029,1.31
3150.03,1.3
3150.031,1.32
3150.033,1.31
3150.034,1.28
3150.035,1.29
3150.037,1.31
3150.038,1.34
3150.039,1.33
3150.04,1.36
3150.042,1.33
3150.043,1.35
3150.044,1.33
3150.045,1.35
3150.047,1.3
3150.048,1.28
3150.049,1.26
3150.05,1.25
3150.052,1.28
3150.053,1.22
3150.054,1.27
3150.055,1.3
3150.057,1.29
3150.058,1.33
3150.059,1.36
3150.06,1.35
3150.062,1.34
3150.063,1.24
3150.064,1.27
3150.065,1.27
3150.067,1.25
3150.068,1.2
3150.069,1.24
3150.07,1.19
3150.072,1.27
3150.073,1.28
3150.074,1.32
3150.075,1.34
3150.077,1.36
3150.078,1.26
3150.079,1.3
3150.08,1.3
3150.082,1.27
3150.083,1.26
3150.084,1.27
3150.085,1.26
3150.087,1.29
3150.088,1.3
3150.089,1.32
3150.09,1.33
3150.092,1.32
3150.093,1.31
3150.094,1.34
3150.095,1.34
3150.097,1.33
3150.098,1.3
3150.099,1.29
3150.1,1.26
3150.102,1.26
3150.103,1.27
3150.104,1.28
3150.105,1.32
3150.107,1.32
3150.108,1.33
3150.109,1.35
3150.11,1.35
3150.112,1.35
3150.113,1.3
3150.114,1.28
3150.115,1.3
3150.117,1.31
3150.118,1.32
3150.119,1.32
3150.12,1.31
3150.122,1.33
3150.123,1.35
3150.124,1.34
3150.125,1.35
3150.127,1.36
3150.128,1.32
3150.129,1.33
3150.13,1.28
3150.132,1.31
3150.133,1.27
3150.134,1.28
3150.135,1.3
3150.137,1.32
3150.138,1.32
3150.139,1.35
3150.14,1.35
3150.142,1.36
3150.143,1.35
3150.144,1.32
3150.145,1.32
3150.147,1.33
3150.148,1.29
3150.149,1.28
3150.15,1.29
3150.152,1.31
3150.153,1.32
3150.154,1.32
3150.155,1.35
3150.157,1.37
3150.158,1.37
3150.159,1.34
3150.16,1.35
3150.162,1.32
3150.163,1.29
3150.164,1.27
3150.165,1.29
3150.167,1.3
3150.168,1.27
3150.169,1.29
3150.17,1.31
3150.172,1.35
3150.173,1.32
3150.174,1.31
3150.175,1.32
3150.177,1.34
3150.178,1.32
3150.179,1.33
3150.18,1.3
3150.182,1.31
3150.183,1.29
3150.184,1.27
3150.185,1.28
3150.187,1.3
3150.188,1.33
3150.189,1.34
3150.19,1.36
3150.192,1.36
3150.193,1.34
3150.194,1.36
3150.195,1.33
3150.197,1.3
3150.198,1.3
3150.199,1.28
3150.2,1.31
3150.202,1.3
3150.203,1.22
3150.204,1.28
3150.205,1.23
3150.207,1.28
3150.208,1.34
3150.209,1.33
3150.21,1.33
3150.212,1.33
3150.213,1.3
3150.214,1.29
3150.215,1.3
3150.217,1.29
3150.218,1.3
3150.219,1.3
3150.221,1.3
3150.222,1.32
3150.223,1.31
3150.224,1.32
3150.226,1.31
3150.227,1.33
3150.228,1.31
3150.229,1.29
3150.231,1.3
3150.232,1.31
3150.233,1.28
3150.234,1.28
3150.236,1.31
3150.237,1.29
3150.238,1.31
3150.239,1.31
3150.241,1.34
3150.242,1.32
3150.243,1.35
3150.244,1.35
3150.246,1.32
3150.247,1.31
3150.248,1.31
3150.249,1.32
3150.251,1.28
3150.252,1.31
3150.253,1.32
3150.254,1.32
3150.256,1.32
3150.257,1.31
3150.258,1.34
3150.259,1.36
3150.261,1.36
3150.262,1.33
3150.263,1.32
3150.264,1.32
3150.266,1.29
3150.267,1.28
3150.268,1.29
3150.269,1.28
3150.271,1.3
3150.272,1.34
3150.273,1.36
3150.274,1.36
3150.276,1.35
3150.277,1.36
3150.278,1.35
3150.279,1.32
3150.281,1.33
3150.282,1.31
3150.283,1.32
3150.284,1.31
3150.286,1.28
3150.287,1.3
3150.288,1.33
3150.289,1.32
3150.291,1.33
3150.292,1.35
3150.293,1.32
3150.294,1.35
3150.296,1.35
3150.297,1.31
3150.298,1.31
3150.299,1.31
3150.301,1.29
3150.302,1.27
3150.303,1.28
3150.304,1.32
3150.306,1.34
3150.307,1.33
3150.308,1.36
3150.309,1.36
3150.311,1.36
3150.312,1.36
3150.313,1.35
3150.314,1.33
3150.316,1.33
3150.317,1.29
3150.318,1.31
3150.319,1.28
3150.321,1.3
3150.322,1.34
3150.323,1.33
3150.324,1.35
3150.326,1.36
3150.327,1.36
3150.328,1.36
3150.329,1.37
3150.331,1.34
3150.332,1.32
3150.333,1.33
3150.334,1.29
3150.336,1.29
3150.337,1.31
3150.338,1.34
3150.339,1.32
3150.341,1.33
3150.342,1.33
3150.343,1.34
3150.344,1.35
3150.346,1.33
3150.347,1.32
3150.348,1.3
3150.349,1.29
3150.351,1.28
3150.352,1.27
3150.353,1.29
3150.354,1.29
3150.356,1.23
3150.357,1.28
3150.358,1.3
3150.359,1.3
3150.361,1.34
3150.362,1.32
3150.363,1.32
3150.364,1.23
3150.366,1.27
3150.367,1.28
3150.368,1.26
3150.369,1.3
3150.371,1.31
3150.372,1.31
3150.373,1.3
3150.374,1.34
3150.376,1.36
3150.377,1.35
3150.378,1.33
3150.379,1.24
3150.381,1.25
3150.382,1.27
3150.383,1.26
3150.384,1.27
3150.386,1.31
3150.387,1.29
3150.388,1.29
3150.389,1.33
3150.391,1.36
3150.392,1.27
3150.393,1.29
3150.394,1.31
3150.396,1.32
3150.397,1.32
3150.398,1.31
3150.399,1.31
3150.401,1.3
3150.402,1.31
3150.403,1.31
3150.405,1.33
3150.406,1.32
3150.407,1.25
3150.408,1.29
3150.41,1.32
3150.411,1.32
3150.412,1.33
3150.413,1.29
3150.415,1.29
3150.416,1.3
3150.417,1.28
3150.418,1.27
3150.42,1.3
3150.421,1.32
3150.422,1.3
3150.423,1.34
3150.425,1.32
3150.426,1.35
3150.427,1.34
3150.428,1.33
3150.43,1.33
3150.431,1.24
3150.432,1.25
3150.433,1.28
3150.435,1.29
3150.436,1.28
3150.437,1.29
3150.438,1.3
3150.44,1.33
3150.441,1.36
3150.442,1.34
3150.443,1.32
3150.445,1.33
3150.446,1.24
3150.447,1.25
3150.448,1.28
3150.45,1.29
3150.451,1.29
3150.452,1.28
3150.453,1.31
3150.455,1.31
3150.456,1.32
3150.457,1.31
3150.458,1.31
3150.46,1.33
3150.461,1.34
3150.462,1.31
3150.463,1.33
3150.465,1.31
3150.466,1.28
3150.467,1.26
3150.468,1.26
3150.47,1.27
3150.471,1.28
3150.472,1.28
3150.473,1.32
3150.475,1.35
3150.476,1.37
3150.477,1.37
3150.478,1.34
3150.48,1.36
3150.481,1.32
3150.482,1.29
3150.483,1.27
3150.485,1.29
3150.486,1.3
3150.487,1.32
3150.488,1.31
3150.49,1.33
3150.491,1.26
