Time,Volt_In,Volt_Out
2757988,3.25,1000
2757992,3.23,994
2757995,3.21,987
2757998,3.18,979
2758001,3.15,971
2758005,3.12,962
2758008,3.09,952
2758011,3.06,942
2758015,3.02,930
2758018,2.99,919
2758021,2.94,906
2758024,2.9,893
2758028,2.86,880
2758031,2.81,866
2758034,2.77,851
2758037,2.72,836
2758041,2.67,820
2758044,2.61,804
2758047,2.56,787
2758051,2.5,770
2758054,2.45,753
2758057,2.39,735
2758060,2.33,717
2758064,2.27,699
2758067,2.21,680
2758070,2.15,661
2758074,2.09,642
2758077,2.02,622
2758080,1.97,603
2758083,1.9,583
2758087,1.83,563
2758090,1.77,543
2758093,1.71,523
2758096,1.64,503
2758100,1.57,483
2758103,1.51,463
2758106,1.45,444
2758109,1.38,424
2758113,1.32,404
2758116,1.26,385
2758119,1.19,365
2758122,1.12,346
2758126,1.07,328
2758129,1.01,309
2758132,0.95,291
2758136,0.89,273
2758139,0.84,256
2758142,0.78,238
2758145,0.73,222
2758149,0.67,205
2758152,0.62,190
2758155,0.57,174
2758158,0.53,160
2758162,0.48,145
2758165,0.44,132
2758168,0.39,119
2758171,0.36,106
2758175,0.31,94
2758178,0.28,83
2758181,0.24,72
2758184,0.21,62
2758188,0.19,53
2758191,0.16,45
2758194,0.13,37
2758197,0.11,30
2758201,0.08,23
2758204,0.07,18
2758207,0.05,13
2758211,0.04,9
2758214,0.03,5
2758217,0.02,3
2758220,0.01,1
2758224,0.03,0
2758227,0.03,0
2758230,0.03,0
2758233,0.03,1
2758237,0.03,3
2758240,0.03,6
2758243,0.04,10
2758246,0.06,14
2758250,0.07,19
2758253,0.09,25
2758256,0.12,32
2758259,0.14,39
2758263,0.16,47
2758266,0.19,56
2758271,0.24,71
2758274,0.27,81
2758277,0.31,92
2758281,0.35,104
2758284,0.39,117
2758287,0.43,130
2758291,0.46,143
2758294,0.52,157
2758297,0.57,172
2758300,0.62,187
2758304,0.67,203
2758307,0.72,219
2758310,0.77,236
2758313,0.83,253
2758317,0.88,270
2758320,0.94,288
2758323,1,306
2758327,1.05,325
2758330,1.12,344
2758333,1.18,363
2758336,1.24,382
2758340,1.31,401
2758343,1.37,421
2758346,1.44,441
2758349,1.5,460
2758353,1.56,480
2758356,1.63,500
2758359,1.69,520
2758362,1.75,540
2758366,1.83,560
2758369,1.89,580
2758372,1.95,600
2758376,2.01,619
2758379,2.08,639
2758382,2.14,658
2758385,2.2,677
2758389,2.26,696
2758392,2.32,714
2758395,2.38,732
2758398,2.44,750
2758402,2.5,768
2758405,2.55,785
2758408,2.61,802
2758411,2.66,818
2758415,2.71,833
2758418,2.76,849
2758421,2.8,863
2758424,2.86,878
2758428,2.9,891
2758431,2.94,904
2758434,2.98,917
2758437,3.02,929
2758441,3.05,940
2758444,3.08,950
2758447,3.11,960
2758450,3.15,970
2758454,3.18,978
2758457,3.2,986
2758460,3.22,993
2758463,3.24,999
2758467,3.26,1005
2758470,3.28,1010
2758473,3.29,1014
2758476,3.3,1017
2758480,3.3,1020
2758483,3.3,1021
2758486,3.3,1022
2758489,3.3,1022
2758493,3.3,1022
2758496,3.3,1021
2758499,3.3,1018
2758503,3.29,1015
2758506,3.29,1012
2758509,3.27,1007
2758512,3.25,1002
2758516,3.24,996
2758519,3.21,989
2758522,3.19,982
2758525,3.16,974
2758529,3.13,965
2758532,3.1,955
2758535,3.07,945
2758539,3.03,934
2758542,3,923
2758545,2.96,911
2758548,2.92,898
2758552,2.88,885
2758555,2.83,871
2758558,2.78,856
2758561,2.73,841
2758565,2.68,826
2758568,2.64,810
2758573,2.55,785
2758576,2.49,768
2758579,2.44,750
2758583,2.38,732
2758586,2.32,714
2758589,2.27,696
2758593,2.2,677
2758596,2.14,658
2758599,2.08,639
2758602,2.01,619
2758606,1.95,600
2758609,1.89,580
2758612,1.82,560
2758616,1.76,540
2758619,1.69,520
2758622,1.63,500
2758625,1.57,480
2758629,1.5,460
2758632,1.44,441
2758635,1.37,421
2758638,1.31,401
2758642,1.25,382
2758645,1.18,363
2758648,1.12,344
2758651,1.06,325
2758655,1,306
2758658,0.95,288
2758661,0.88,270
2758664,0.83,253
2758668,0.77,236
2758671,0.72,219
2758674,0.67,203
2758677,0.62,187
2758681,0.57,172
2758684,0.52,157
2758687,0.47,143
2758690,0.43,130
2758694,0.39,117
2758699,0.35,104
2758703,0.31,92
2758706,0.27,81
2758709,0.23,71
2758713,0.21,61
2758716,0.19,52
2758719,0.15,43
2758722,0.13,36
2758726,0.1,29
2758729,0.08,22
2758732,0.06,17
2758735,0.05,12
2758739,0.04,8
2758742,0.03,5
2758745,0.02,2
2758748,0.02,1
2758752,0.03,0
2758755,0.03,0
2758758,0.03,0
2758761,0.03,2
2758765,0.03,4
2758768,0.03,7
2758771,0.05,11
2758774,0.06,15
2758778,0.08,20
2758781,0.09,26
2758784,0.12,33
2758787,0.15,41
2758791,0.17,49
2758794,0.2,58
2758797,0.23,67
2758801,0.26,78
2758804,0.29,88
2758807,0.33,100
2758810,0.37,112
2758814,0.42,125
2758817,0.46,138
2758820,0.5,152
2758823,0.55,167
2758827,0.6,182
2758830,0.65,198
2758833,0.7,214
2758837,0.75,230
2758840,0.8,247
2758843,0.86,264
2758846,0.92,282
2758850,0.97,300
2758853,1.04,318
2758856,1.1,337
2758859,1.16,356
2758863,1.22,375
2758866,1.29,394
2758869,1.35,414
2758874,1.45,444
2758877,1.51,463
2758881,1.57,483
2758884,1.64,503
2758887,1.7,523
2758891,1.77,543
2758894,1.83,563
2758897,1.9,583
2758900,1.96,603
2758903,2.03,622
2758907,2.09,642
2758910,2.15,661
2758913,2.21,680
2758916,2.27,699
2758920,2.33,717
2758923,2.39,735
2758926,2.45,753
2758929,2.5,770
2758933,2.56,787
2758936,2.6,804
2758939,2.67,820
2758942,2.72,836
2758946,2.76,851
2758949,2.82,866
2758952,2.86,880
2758955,2.9,893
2758959,2.95,906
2758962,2.98,919
2758965,3.02,930
2758968,3.06,942
2758972,3.09,952
2758975,3.13,962
2758978,3.15,971
2758981,3.18,979
2758984,3.2,987
2758988,3.23,994
2758991,3.25,1000
2758994,3.26,1006
2758997,3.28,1010
2759001,3.29,1014
2759004,3.3,1017
2759007,3.3,1020
2759010,3.3,1022
2759014,3.3,1022
2759017,3.3,1022
2759020,3.3,1022
2759023,3.3,1020
2759027,3.3,1018
2759030,3.29,1015
2759033,3.28,1011
2759036,3.27,1007
2759040,3.25,1001
2759043,3.23,995
2759046,3.21,988
2759049,3.18,981
2759053,3.16,973
2759056,3.13,964
2759059,3.1,954
2759063,3.07,944
2759066,3.03,933
2759069,2.99,921
2759072,2.95,909
2759076,2.91,896
2759079,2.87,883
2759082,2.82,868
2759086,2.78,854
2759089,2.73,839
2759092,2.67,823
2759095,2.63,807
2759099,2.57,791
2759102,2.52,774
2759105,2.46,756
2759108,2.4,739
2759112,2.35,721
2759115,2.28,702
2759118,2.22,684
2759122,2.16,665
2759125,2.1,645
2759128,2.04,626
2759131,1.97,607
2759135,1.91,587
2759138,1.84,567
2759141,1.78,547
2759144,1.72,527
2759148,1.65,507
2759151,1.59,487
2759154,1.52,467
2759158,1.46,447
2759161,1.4,428
2759164,1.33,408
2759167,1.27,389
2759171,1.2,369
2759174,1.14,350
2759179,1.05,322
2759182,0.99,304
2759185,0.93,285
2759188,0.88,268
2759192,0.82,250
2759195,0.76,233
2759198,0.71,217
2759202,0.66,201
2759205,0.61,185
2759208,0.56,170
2759211,0.51,155
2759215,0.47,141
